Station Name,Longitude,Latitude,Altitude,Sector,District,Type,Date of installation
Kanombe, 30.149530,-1.971556,1412,Kanombe,Kicukiro,AWS,2013
Gikomero,30.21839,-1.887528,1882,Gikomero,Gasabo,AWS,2013
Gitega,30.057824,-1.956129,1522,Gitega,Nyarugenge,AWS,2017
RUBUNGO RAB,30.16778,-1.979167,1458,Gikomero,Gasabo,MRG,2010
Mageregere Sector,30.0241667,2.0216667,1386,Mageragere,Nyarugenge,CL,2010
Gahanga,30.12141667,-2.019,1527,Gahanga,Kicukiro,ARG,2014
Masaka,30.19258333,-1.997138889,1418,Masaka,Kicukiro,ARG,2014
Rubirizi,30.13180556,-1.988305556,1441,Kanombe,Kicukiro,ARG,2014
Jali,30.12972222,-1.987222222,2003,Jali,Gasabo,ARG,2014
Ndera,30.17333333,-1.947111111,1463,Ndera,Gasabo,ARG,2014
Kigali Sector,30.01638889,-1.982555556,1481,Kigali,Nyarugenge,ARG,2014
Rugunga,30.06777763,-1.957888924,1450,Nyarugenge,Nyarugenge,ARG,2014
